"mensagem","classificacao"
"se a princesa isabel não tivesse abolido a escravidão eu poderia ter um escravo pra lavar a louça pra mim","hate"
"Olá! É importante lembrar que, até o momento, não existem vacina, alimento específico, substância ou remédio que previnam ou possam acabar com a Covid-19. A nossa maior ação contra o vírus é o isolamento social e a adesão das medidas de proteção individual.","regular"
"mbappé conseguiria fazer uns arrastão top na praia hein","hate"
"Causa repulsa e indignação o espancamento até a morte de um homem negro em Porto Alegre. No Dia da Consciência Negra, estas cenas de racismo demonstram o quanto precisamos evoluir para termos uma sociedade mais justa e igualitária","regular"
"Procurando quem me roubou numa multidão de pretos","hate"
"Todos os dias no Brasil tem um George, um João Alberto, uma Maria Aparecida. Todos os dias pessoas negras são vítimas e não podemos nos calar. BASTA!","regular"
"eae pretao pretao seu macacão vc e da angola pq nao e possivel alguem ser tao PRETO assim tinha que ser um macaquinho africano mesmo kkkkkkkkk macaquinho uaaar uaaar come banana filo da puta tu transmite ebola ate pro humano mais resistente possível seu pretinho filho da puta negro","hate"
"eu na antena parabolica","regular"
"Nordeste poderia sair do mapa do Brasil... morram de fome vivam de bolsa do caralho ... bando de vermes....raiva ódio dessa gente.... aí vai TD na tv pedir. Ajuda de volta pra minha terra de volta pra pqp isso sim.... TD fudido..... ódio ódio","hate"
"Essa corrente negativa de pessoas desejando a morte de Bolsonaro não será mais forte do que as orações de milhões de pessoas que estão juntas com o nosso presidente na luta por um Brasil melhor. Vamos vencer o discurso de ódio.","regular"
"Não maltrataram ela? Não a estruparam com violência? Não mataram nenhum parente dela? Que pena!!! Ela deveria sofrer na carne!!!","hate"
"Encerrando o dia com o posicionamento da XboxBR reafirmando o compromisso com os valores fundamentais de respeito, diversidade e inclusão! Discursos de ódio e preconceituosos não passarão! Obrigado pelo apoio equipe Xbox e seguidores","regular"
"Quero ir num aeroporto brasileiro só pra ver pobre sendo barrado na entrada, pois com Temer pobre não anda de avião","hate"
"o curioso caso do sei do que eu to falando mas nao sei formular argumento basico","regular"
"Não vejo a hora do Lula morrer. Não é discurso de ódio e sim de paz. O histório desse sujeito não deixa saudades mas um exemplo para essa nação acordar dos males que sofreu","hate"
"Hoje eu finalmente entendi o que é um meme","regular"
"o brasileiro esperando mais de 7 mes pra vacina do coronavirus e o bolsonaro diz que nao vai compra só porque eh da china. serio num da mais que facada mal dada do caralho vamo te que chama o cara que atirou no presidente kennedy","hate"
"Discurso de ódio não é liberdade de expressão. É crime!","regular"
"O povo precisa providenciar o enforcamento de Sérgio Moro (Falso Juiz) em Praça Pública. Um traidor da pátria como ele merece isso.","hate"
"Discurso de ódio mata sim. Não disfarce isso como sendo apenas opinião.","regular"
"Então estou ansioso esperando alguém dar um tiro na cabeça do Bolsonaro.","hate"
"Nem queria namorar com você, queria casar só","regular"
"O Nordeste elege o PT e fode o país, quando questão é política. E depois vem procurar emprego em São Paulo... desejo que continuem comendo lavagem, seus LIXOS.","hate"
"O GERENTE FICOU MALUCO tudo pela metade do preço! mas espere... OS CLIENTES TB FICARAM MALUCOS! querem pagar o dobro! agora ficou um impasse","regular"
"Deveria acontecer o que aconteceu na Argentina onde jogaram todos os escravos no mar. Alguém sabe responder se existe algum lugar no mundo onde tem negros e prosperidade?","hate"
"Homem é foda né, a mina pode ter peitão, bundão, o que for... mas o que importa pra ele é o caráter dela.","regular"
"os brasileiros sao tudo nogento, ainda bem que eu moro em minas gerais","hate"
"Nem todos sabem o q passei pra chegar até aqui, falar até papagaio fala, agora fazer... O choro é de alegria, de superação, de garra. Na minha vida as coisas nunca foram fáceis, não seria agora né! O sonho continua, sonho não, OBJETIVO! Parabéns pela partida rapaziada, vcs são FODA","regular"
"Quem apoio Trum e Bolsonaro, é retardado... Falou a feminazi, o maconheiro, o bandido, que só vai ver a tag depois de 12h pq tá dormindo","hate"
"Queria um Google na cabeça e umm anti-virus no coreação rsrsrsrsrssrsrrsrsrsrs","regular"
"Bom dia negros fedidos :D","hate"
"alguem sabe um lugar aqui em santos que vai ter um pagodinho depois do jogo ???","regular"
"eu não tenho raiva, nem ódio, muito menos desprezo de travestis, apenas não consigo imaginar um travesti pelado, que nojo, sério","hate"
"quando eu falo que quem me trouxe pro kpop foi kard e não bts as pessoas ficam chocadas ahhaha","regular"
"A racismo começa apartir de que nuvens pretas são para dias ruins e chuvosos, e nuvens brancas são para dias bons e ensolarados.","hate"
"alias falano em gif eu imprimi um esses dia. nao ta mexendo certamente a impresora esta c/ defeito","regular"
